python-html5lib 1.0.1-3
python-idna 2.8-1
python-jade-application-kit 1.3.5-2
python-jsonschema 2.6.0-3
python-keyutils 0.5-3
python-lockfile 0.12.2-3
python-msgpack 0.5.6-2
python-npyscreen 4.10.5-2
python-packaging 18.0-1
python-pep517 0.5.0-1
python-pillow 5.3.0-1
python-pip 18.1-1
python-progress 1.4-2
python-pycups 1.9.74-1
python-pycurl 7.43.0.2-2
python-pyparsing 2.3.0-1
python-pyqt5 5.11.3-2
python-pysmbc 1.0.15.8-2
python-pytoml 0.1.20-1
python-reportlab 3.5.12-1
python-requests 2.20.1-1
python-retrying 1.3.3-4
python-setuptools 1:40.6.3-1
python-sip-pyqt5 4.19.13-1
python-six 1.12.0-1
python-texttable 1.5.0-1
python-urllib3 1.24.1-1
python-webencodings 0.5.1-2
python-websocket-client 0.54.0-1
python-yaml 3.13-2
python2 2.7.15-2
qca 2.1.3-2
qgpgme 1.12.0-1
qpdf 8.2.1-1
qqc2-desktop-style 5.53.0-1
qrencode 4.0.2-1
qt4 4.8.7-26
qt5-base 5.12.0-1.1
qt5-declarative 5.12.0-1
qt5-graphicaleffects 5.12.0-1
qt5-imageformats 5.12.0-1
qt5-location 5.12.0-1
qt5-multimedia 5.12.0-1
